ticker,sector,decision,composite_score,roe,roic,ev_ebitda,pb_ratio,mktcap_to_assets,leverage_flag,momentum_score,mom_12_1,resid_mom_63,factor_composite,liquidity_score,sp500_member,sp500_sector,suggested_w_max,sizing_action,buy_score,action,regime,reasons
HPQ,Information Technology,INCLUDE_QUALITY,0.7996,0.2,0.15,7.0,1.4,0.6,,0.9505215070112052,-0.19196754611792,0.1794713288001699,0.6896915556466647,0.3591549295774648,,,0.12,prefer_add,0.62,BUY,Stress,"buffett_quality,strong_momentum,positive_residual_mom,high_factor_composite,sp500_member,stress_regime_haircut"
HMC,Consumer Discretionary,INCLUDE_VALUE,0.7511,0.08,0.06,6.5,0.6,0.24,cheap-assets,0.5595640465305008,-0.1610778689320332,0.1944444708924534,0.708959987937711,0.0633802816901408,True,Consumer Discretionary,0.12,prefer_add,0.6,BUY,Stress,"value_trifecta,strong_momentum,positive_residual_mom,high_factor_composite,cheap_assets_flag,low_liquidity,sp500_member,stress_regime_haircut"
RF,Financials,INCLUDE_CORE,0.921,0.15,0.15,7.5,1.1,0.12,cheap-assets,0.0124537493369525,0.171826645040207,0.0311376311382751,0.3543223993656435,0.3028169014084507,True,Financials,0.12,prefer_add,0.5,ACCUMULATE,Stress,"dual_pass_core,positive_momentum,cheap_assets_flag,sp500_member,stress_regime_haircut"
MU,Information Technology,SATELLITE,0.6887,0.16,0.12,6.5,1.8,0.9,,3.274503825564132,6.850326095691777,0.411241033727703,1.4829914717155066,1.0,True,Information Technology,0.08,hold,0.5,ACCUMULATE,Stress,"satellite,strong_momentum,positive_residual_mom,high_factor_composite,sp500_member,stress_regime_haircut"
ABBV,Health Care,SATELLITE,0.5257,0.8,0.2,,-68.33,3.369,,0.5379588554421224,0.2958257097453727,0.1627155696417449,0.5784272504056001,0.795774647887324,True,Health Care,0.05,hold,0.5,ACCUMULATE,Stress,"satellite,strong_momentum,positive_residual_mom,high_factor_composite,sp500_member,stress_regime_haircut"
MRK,Health Care,INCLUDE_QUALITY,0.5907,0.3,0.18,12.0,6.5,2.636,,0.3214250308095511,0.5664369361952557,0.0763666577299915,0.1694587538708344,0.7183098591549296,True,Health Care,0.05,hold,0.42,ACCUMULATE,Stress,"buffett_quality,positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
NUE,Materials,SATELLITE,0.7357,0.18,0.14,6.0,1.6,1.0,,0.636334870965217,0.5136451285184724,0.0316439577318769,0.5790100266556815,0.3169014084507042,True,Materials,0.08,hold_or_add,0.4,ACCUMULATE,Stress,"satellite,strong_momentum,high_factor_composite,sp500_member,stress_regime_haircut"
TRV,Financials,SATELLITE,0.5321,0.14,0.1,,2.37,0.603,,0.745795494468841,0.2711103344785641,0.1478721468706884,0.2286322614463253,0.6056338028169014,True,Financials,0.05,hold,0.4,ACCUMULATE,Stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
KHC,Consumer Staples,SATELLITE,0.5106,0.06,0.05,,0.75,0.355,cheap-assets,0.4031927119429812,-0.0945752881954725,0.2098324512893257,0.3126201168978282,0.3380281690140845,True,Consumer Staples,0.05,hold,0.38,ACCUMULATE,Stress,"satellite,positive_momentum,positive_residual_mom,cheap_assets_flag,sp500_member,stress_regime_haircut"
AFL,Financials,INCLUDE_VALUE,0.8449,0.16,0.12,8.5,1.5,0.15,cheap-assets,0.1913062817158155,0.1436140089257422,0.0176138845165304,0.2380252755609786,0.2394366197183098,True,Financials,0.12,prefer_add,0.35,ACCUMULATE,Stress,"value_trifecta,positive_momentum,cheap_assets_flag,sp500_member,stress_regime_haircut"
